,latitude,longitude,town,cluster,sub_cluster
2853,55.19849,-3.91828,Thornhill,-1,0
2901,54.934342,-3.817744,Dalbeattie ,-1,0
2909,55.2385,-3.76665,Thornhill,-1,0
2950,55.97746,-2.895683,Longniddry,-1,0
2951,55.969509,-2.950091,Cockenzie Port Seton,-1,0
3158,55.828575,-4.220271,Rutherglen ,-1,0
3159,55.828575,-4.220271,Rutherglen ,-1,0
3163,55.663458,-3.914945,Kirkmuirhill ,-1,0
3188,55.99133,-3.398619,Queensferry,-1,0
3189,55.99133,-3.398619,Queensferry,-1,0
3219,51.411173,-0.055369,Anerley,-1,0
3221,51.451127,0.050619,Eltham,-1,0
3223,51.533633,-0.172353,St. John's Wood,-1,0
3235,51.496067,0.093083,Thamesmead,-1,0
3236,51.496764,0.092801,Thamesmead,-1,0
3239,51.515286,-0.116644,Lincoln's Inn Fields,-1,0
3241,51.487717,-0.142074,Vauxhall Bridge,-1,0
3249,51.604041,-0.239335,Mill Hill,-1,0
3267,51.493,-0.202,West Kensington,-1,0
3269,51.24815,-0.758249,Aldershot,-1,0
3331,51.492,-0.275,Chiswick,-1,0
3343,51.604041,-0.239335,Mill Hill,-1,0
3379,53.564583,-0.090847,,-1,0
3380,53.558684,-0.030395,,-1,0
3381,54.553891,-3.456636,Frizington,-1,0
3398,50.817799,-0.498348,Edinburgh,-1,0
3453,50.598755,-3.460713,Dawlish,-1,0
3469,51.359607,-0.19094,Belmont,-1,0
3475,51.309401,-0.081073,Caterham,-1,0
3507,51.176632,-0.007531,Lingfield,-1,0
3508,51.176647,-0.007431,Lingfield,-1,0
3518,51.391533,-0.111222,Thornton Heath,-1,0
3519,51.391533,-0.111222,Thornton Heath,-1,0
3523,50.847846,-0.546534,Arundel,-1,0
3524,50.847808,-0.546578,Arundel,-1,0
3529,52.132925,0.20573,Bishop's Stortford,-1,0
3541,52.322607,-0.070103,St. Ives,-1,0
3542,52.226642,-0.275248,St. Neots,-1,0
3555,51.356895,-1.144295,Tadley,-1,0
3557,50.83475,-3.27938,HONITON,-1,0
3565,52.74867,-1.47032,Ashby-de-la-Zouch,-1,0
3566,52.74867,-1.47032,Ashby-de-la-Zouch,-1,0
3567,52.750724,1.368294,Thringstone,-1,0
3568,52.750716,1.368294,Thringstone,-1,0
