,ID,latitude,longitude
430,133002,52.56275,1.1215
431,133309,52.19867,-0.88817
432,133973,53.83972,-1.25934
433,134530,52.01977,-1.37016
434,135047,51.25174,-2.53891
435,136089,52.27392,0.70582
436,136090,52.26682,0.76992
437,136282,51.36673,-0.41801
438,136366,51.3546,-0.28469
439,136871,51.17191,-0.75988
440,137163,52.22571,-1.84473
441,137702,50.98921,-0.09303
442,137881,51.50758,-2.09197
443,137894,51.59192,-1.86754
444,138078,52.38056,-1.99484
445,139312,52.04578,-0.69061
446,107595,54.64134,-5.76272
447,107781,51.55908,-0.20222
448,109818,51.61899,-0.31435
449,110165,51.47843,-0.27057
450,111032,51.41695,-0.24353
451,112248,51.53025,-0.17533
452,119174,54.56973,-1.6461
453,121425,51.34706,-2.94155
454,121469,51.40161,-2.8126
455,121542,51.56291,-2.46013
456,122992,51.43192,-0.96851
457,123513,50.83923,-0.161
458,123945,51.97961,-0.5127
459,124249,51.68651,-0.59966
460,124848,53.09849,-2.31696
461,126536,50.4457,-3.72084
462,129141,51.25082,-0.831
463,130098,51.69701,-0.40832
464,130105,51.61951,-0.4109
465,130119,51.6799,-0.47865
466,130627,51.24184,0.54756
467,131726,53.85054,-2.98135
468,131934,52.79981,-1.08333
469,132007,52.52819,-1.3803
470,133438,52.33676,-0.73592
471,133519,55.12373,-1.55042
472,133816,53.95494,-1.62785
473,134668,51.59352,-1.10039
474,135083,51.24421,-2.60262
475,135113,51.27129,-2.86159
476,135114,51.27661,-2.92967
477,136274,51.36939,-0.37054
478,136893,51.08474,-0.69718
479,137213,52.25515,-1.53999
480,107734,51.52691,0.09812
481,107777,51.56842,-0.20209
482,107846,51.58716,-0.18937
483,107897,51.60993,-0.23549
484,108698,51.31013,-0.09957
485,111029,51.42778,-0.23654
486,112176,51.53596,-0.1701
487,114821,53.49342,-1.14216
488,116037,54.89776,-1.4981
489,117712,53.84316,-1.70913
490,118270,53.8785,-1.73663
491,121021,51.37776,-2.33261
492,121579,51.49903,-2.48378
493,123250,51.37279,-0.81711
494,123516,50.84659,-0.16687
495,124069,51.9029,-0.54523
496,124305,51.58471,-0.57914
497,124586,52.31298,-0.22686
498,124797,53.13957,-2.90446
499,124904,53.14364,-2.38731
500,125148,53.21651,-2.5737
501,126289,50.76079,-3.44126
502,127018,54.84587,-1.85649
503,127509,50.7939,0.18972
504,127786,51.62264,0.34763
505,129449,51.05424,-1.58411
506,130228,51.85027,-0.19097
507,130234,51.82633,-0.18521
508,130977,51.2804,0.27627
509,132488,53.01766,-0.65239
510,133001,52.62701,1.19547
511,134477,52.85422,-1.07215
512,135169,51.21216,-2.81087
513,136263,51.36109,-0.34872
514,136413,51.2288,-0.59232
515,138975,51.465,-0.18345
516,145484,51.46846,-3.51542
517,107138,54.59773,-5.78106
518,108505,51.55615,-0.19126
519,109619,51.58296,-0.14079
520,110052,51.5672,-0.47391
521,110397,51.49768,-0.16786
522,110453,51.5106,-0.20766
523,110468,51.49889,-0.18733
524,111614,51.44567,-0.08821
525,117232,52.38494,-1.84777
526,117233,52.37255,-1.80002
527,118825,53.69863,-1.50993
528,119831,53.72784,-0.49711
529,121474,51.53532,-2.61568
530,122115,51.54301,-1.78056
531,123072,51.41867,-0.67335
532,124165,51.77044,-0.92756
533,124268,51.62876,-0.67515
534,124301,51.5457,-0.61453
535,124302,51.57118,-0.53088
536,124618,52.33299,-0.2093
537,125028,53.30277,-2.25556
538,125372,50.1857,-5.18065
539,126922,50.95375,-2.5135
540,127367,50.97187,-0.08284
541,128420,51.90041,-2.0495
542,128979,50.97624,-1.30404
543,129762,51.90408,0.09297
544,129960,51.8276,-0.38327
545,130657,51.2521,0.11657
546,131472,53.82705,-2.73261
