,latitude,longitude
409,55.67444,-4.53103
410,55.88771,-3.34833
411,51.57495,0.22319
412,51.50786,-0.20825
413,51.41318,-0.26654
414,51.50808,-0.14735
415,53.3534,-1.59824
416,55.025,-1.52926
417,51.89504,-2.49604
418,51.37218,-1.0225
419,51.7035,-0.70936
420,51.61686,-0.65892
421,51.57022,-0.49817
422,52.18657,-0.17788
423,52.05418,0.05072
424,51.68292,-2.35795
425,50.98682,-0.99882
426,50.89143,-1.26723
427,51.65954,-0.49484
428,51.24303,0.67654
429,53.85092,-2.661
430,52.56275,1.1215
431,52.19867,-0.88817
432,53.83972,-1.25934
433,52.01977,-1.37016
434,51.25174,-2.53891
435,52.27392,0.70582
436,52.26682,0.76992
437,51.36673,-0.41801
438,51.3546,-0.28469
439,51.17191,-0.75988
440,52.22571,-1.84473
441,50.98921,-0.09303
442,51.50758,-2.09197
443,51.59192,-1.86754
444,52.38056,-1.99484
445,52.04578,-0.69061
446,54.64134,-5.76272
447,51.55908,-0.20222
448,51.61899,-0.31435
449,51.47843,-0.27057
450,51.41695,-0.24353
451,51.53025,-0.17533
452,54.56973,-1.6461
453,51.34706,-2.94155
